x,y,u,v,p
0.0078125,0.0078125,0,0,-0.178929
0.0234375,0.0078125,0,0,-0.179087
0.0390625,0.0078125,0,0,-0.178993
0.0546875,0.0078125,0,0,-0.179179
0.0703125,0.0078125,0,0,-0.179132
0.0859375,0.0078125,0,0,-0.179242
0.101562,0.0078125,0,0,-0.179197
0.117188,0.0078125,0,0,-0.179247
0.132812,0.0078125,0,0,-0.179198
0.148438,0.0078125,0,0,-0.179207
0.164062,0.0078125,0,0,-0.179155
0.179688,0.0078125,0,0,-0.179135
0.195312,0.0078125,0,0,-0.179076
0.210938,0.0078125,0,0,-0.179034
0.226562,0.0078125,0,0,-0.178965
0.242188,0.0078125,0,0,-0.178903
0.257812,0.0078125,0,0,-0.178819
0.273438,0.0078125,0,0,-0.178735
0.289062,0.0078125,0,0,-0.178632
0.304688,0.0078125,0,0,-0.178522
0.320312,0.0078125,0,0,-0.178394
0.335938,0.0078125,0,0,-0.178254
0.351562,0.0078125,0,0,-0.178096
0.367188,0.0078125,0,0,-0.177921
0.382812,0.0078125,0,0,-0.177726
0.398438,0.0078125,0,0,-0.177512
0.414062,0.0078125,0,0,-0.177276
0.429688,0.0078125,0,0,-0.177019
0.445312,0.0078125,0,0,-0.17674
0.460938,0.0078125,0,0,-0.176438
0.476562,0.0078125,0,0,-0.176115
0.492188,0.0078125,0,0,-0.175773
0.507812,0.0078125,0,0,-0.175411
0.523438,0.0078125,0,0,-0.175035
0.539062,0.0078125,0,0,-0.174646
0.554688,0.0078125,0,0,-0.174249
0.570312,0.0078125,0,0,-0.173849
0.585938,0.0078125,0,0,-0.173451
0.601562,0.0078125,0,0,-0.173061
0.617188,0.0078125,0,0,-0.172684
0.632812,0.0078125,0,0,-0.172327
0.648438,0.0078125,0,0,-0.171996
0.664062,0.0078125,0,0,-0.171695
0.679688,0.0078125,0,0,-0.17143
0.695312,0.0078125,0,0,-0.171203
0.710938,0.0078125,0,0,-0.171018
0.726562,0.0078125,0,0,-0.170876
0.742188,0.0078125,0,0,-0.170776
0.757812,0.0078125,0,0,-0.170716
0.773438,0.0078125,0,0,-0.170696
0.789062,0.0078125,0,0,-0.170709
0.804688,0.0078125,0,0,-0.170753
0.820312,0.0078125,0,0,-0.170822
0.835938,0.0078125,0,0,-0.170909
0.851562,0.0078125,0,0,-0.171013
0.867188,0.0078125,0,0,-0.171119
0.882812,0.0078125,0,0,-0.171235
0.898438,0.0078125,0,0,-0.171337
0.914062,0.0078125,0,0,-0.171446
0.929688,0.0078125,0,0,-0.171517
0.945312,0.0078125,0,0,-0.171602
0.960938,0.0078125,0,0,-0.171611
0.976562,0.0078125,0,0,-0.17166
0.992188,0.0078125,0,0,-0.171608
0.0078125,0.0234375,0,0,-0.178773
0.0234375,0.0234375,-4.83805e-05,5.03587e-05,-0.178952
0.0390625,0.0234375,-0.000357338,-1.06045e-05,-0.178795
0.0546875,0.0234375,-0.000683226,6.11788e-05,-0.178944
0.0703125,0.0234375,-0.00129682,1.97082e-05,-0.178824
0.0859375,0.0234375,-0.00186398,6.22526e-05,-0.17892
