x,y,u,v,p
0.0078125,0.0078125,0,0,-0.149893
0.0234375,0.0078125,0,0,-0.150036
0.0390625,0.0078125,0,0,-0.149964
0.0546875,0.0078125,0,0,-0.150103
0.0703125,0.0078125,0,0,-0.150057
0.0859375,0.0078125,0,0,-0.150125
0.101562,0.0078125,0,0,-0.150072
0.117188,0.0078125,0,0,-0.150083
0.132812,0.0078125,0,0,-0.150016
0.148438,0.0078125,0,0,-0.149985
0.164062,0.0078125,0,0,-0.149903
0.179688,0.0078125,0,0,-0.149839
0.195312,0.0078125,0,0,-0.14974
0.210938,0.0078125,0,0,-0.149647
0.226562,0.0078125,0,0,-0.14953
0.242188,0.0078125,0,0,-0.149411
0.257812,0.0078125,0,0,-0.149272
0.273438,0.0078125,0,0,-0.149127
0.289062,0.0078125,0,0,-0.148965
0.304688,0.0078125,0,0,-0.148795
0.320312,0.0078125,0,0,-0.148608
0.335938,0.0078125,0,0,-0.148411
0.351562,0.0078125,0,0,-0.148199
0.367188,0.0078125,0,0,-0.147975
0.382812,0.0078125,0,0,-0.147736
0.398438,0.0078125,0,0,-0.147484
0.414062,0.0078125,0,0,-0.147218
0.429688,0.0078125,0,0,-0.146939
0.445312,0.0078125,0,0,-0.146647
0.460938,0.0078125,0,0,-0.146342
0.476562,0.0078125,0,0,-0.146025
0.492188,0.0078125,0,0,-0.145698
0.507812,0.0078125,0,0,-0.14536
0.523438,0.0078125,0,0,-0.145014
0.539062,0.0078125,0,0,-0.144662
0.554688,0.0078125,0,0,-0.144305
0.570312,0.0078125,0,0,-0.143945
0.585938,0.0078125,0,0,-0.143586
0.601562,0.0078125,0,0,-0.143229
0.617188,0.0078125,0,0,-0.142879
0.632812,0.0078125,0,0,-0.142538
0.648438,0.0078125,0,0,-0.14221
0.664062,0.0078125,0,0,-0.141896
0.679688,0.0078125,0,0,-0.141602
0.695312,0.0078125,0,0,-0.141329
0.710938,0.0078125,0,0,-0.14108
0.726562,0.0078125,0,0,-0.140857
0.742188,0.0078125,0,0,-0.140663
0.757812,0.0078125,0,0,-0.140496
0.773438,0.0078125,0,0,-0.140361
0.789062,0.0078125,0,0,-0.140253
0.804688,0.0078125,0,0,-0.140178
0.820312,0.0078125,0,0,-0.140126
0.835938,0.0078125,0,0,-0.140108
0.851562,0.0078125,0,0,-0.140105
0.867188,0.0078125,0,0,-0.140137
0.882812,0.0078125,0,0,-0.140173
0.898438,0.0078125,0,0,-0.140244
0.914062,0.0078125,0,0,-0.140304
0.929688,0.0078125,0,0,-0.140402
0.945312,0.0078125,0,0,-0.140462
0.960938,0.0078125,0,0,-0.140562
0.976562,0.0078125,0,0,-0.14058
0.992188,0.0078125,0,0,-0.140624
0.0078125,0.0234375,0,0,-0.149753
0.0234375,0.0234375,-4.40014e-05,4.51922e-05,-0.149904
0.0390625,0.0234375,-0.00034458,-2.80413e-06,-0.149775
0.0546875,0.0234375,-0.000641878,5.24827e-05,-0.149886
0.0703125,0.0234375,-0.00117293,2.11947e-05,-0.149781
0.0859375,0.0234375,-0.00165962,5.30115e-05,-0.149839
0.101562,0.0234375,-0.00229356,3.37666e-05,-0.149749
0.117188,0.0234375,-0.00287539,5.22674e-05,-0.149759
0.132812,0.0234375,-0.003542,4.04136e-05,-0.149671
0.148438,0.0234375,-0.00416516,5.11897e-05,-0.149643
0.164062,0.0234375,-0.00483643,4.39374e-05,-0.149549
0.179688,0.0234375,-0.00547662,5.0254e-05,-0.149488
0.195312,0.0234375,-0.00614441,4.5846e-05,-0.149382
0.210938,0.0234375,-0.00679153,4.95503e-05,-0.149292
0.226562,0.0234375,-0.00745431,4.68459e-05,-0.149171
0.242188,0.0234375,-0.0081032,4.89598e-05,-0.149055
0.257812,0.0234375,-0.00875994,4.72083e-05,-0.148915
0.273438,0.0234375,-0.00940602,4.82808e-05,-0.148774
0.289062,0.0234375,-0.0100538,4.69787e-05,-0.148614
0.304688,0.0234375,-0.0106912,4.72849e-05,-0.148448
0.320312,0.0234375,-0.0113244,4.60795e-05,-0.148266
0.335938,0.0234375,-0.011945,4.57308e-05,-0.148076
0.351562,0.0234375,-0.0125552,4.43573e-05,-0.147871
0.367188,0.0234375,-0.0131481,4.33645e-05,-0.147657
0.382812,0.0234375,-0.0137233,4.1608e-05,-0.14743
0.398438,0.0234375,-0.0142747,3.99217e-05,-0.147192
0.414062,0.0234375,-0.0147998,3.75998e-05,-0.146943
0.429688,0.0234375,-0.0152924,3.51409e-05,-0.146684
0.445312,0.0234375,-0.0157486,3.21005e-05,-0.146413
0.460938,0.0234375,-0.0161622,2.87887e-05,-0.146134
0.476562,0.0234375,-0.0165279,2.49169e-05,-0.145846
0.492188,0.0234375,-0.0168396,2.07007e-05,-0.14555
0.507812,0.0234375,-0.0170915,1.59438e-05,-0.145247
0.523438,0.0234375,-0.0172774,1.08331e-05,-0.144939
0.539062,0.0234375,-0.0173916,5.22224e-06,-0.144627
0.554688,0.0234375,-0.0174288,-6.80434e-07,-0.144314
0.570312,0.0234375,-0.0173839,-7.00625e-06,-0.144
0.585938,0.0234375,-0.0172532,-1.34814e-05,-0.143688
0.601562,0.0234375,-0.0170332,-2.02621e-05,-0.14338
0.617188,0.0234375,-0.0167223,-2.69651e-05,-0.143079
0.632812,0.0234375,-0.0163193,-3.38272e-05,-0.142787
0.648438,0.0234375,-0.0158259,-4.03037e-05,-0.142506
0.664062,0.0234375,-0.0152434,-4.67952e-05,-0.142238
0.679688,0.0234375,-0.0145772,-5.25224e-05,-0.141987
0.695312,0.0234375,-0.0138311,-5.81739e-05,-0.141753
0.710938,0.0234375,-0.0130147,-6.26205e-05,-0.141539
0.726562,0.0234375,-0.0121337,-6.70213e-05,-0.141345
0.742188,0.0234375,-0.0112017,-6.97064e-05,-0.141174
0.757812,0.0234375,-0.010225,-7.25766e-05,-0.141024
0.773438,0.0234375,-0.00922155,-7.31004e-05,-0.1409
0.789062,0.0234375,-0.00819664,-7.43403e-05,-0.140793
0.804688,0.0234375,-0.00717291,-7.23654e-05,-0.140715
0.820312,0.0234375,-0.00615262,-7.20782e-05,-0.140649
0.835938,0.0234375,-0.00516513,-6.72489e-05,-0.140612
0.851562,0.0234375,-0.00420696,-6.5762e-05,-0.140579
0.867188,0.0234375,-0.0033176,-5.75806e-05,-0.140577
0.882812,0.0234375,-0.00248489,-5.55261e-05,-0.140566
0.898438,0.0234375,-0.00176251,-4.32378e-05,-0.140591
0.914062,0.0234375,-0.00112639,-4.1788e-05,-0.140589
0.929688,0.0234375,-0.000644092,-2.44317e-05,-0.140629
0.945312,0.0234375,-0.000277337,-2.57634e-05,-0.140624
0.960938,0.0234375,-8.38374e-05,-2.84863e-06,-0.140665
0.976562,0.0234375,-1.37325e-05,-1.1757e-05,-0.140648
0.992188,0.0234375,0,0,-0.140668
0.0078125,0.0390625,0,0,-0.1498
0.0234375,0.0390625,-4.47849e-06,0.000349693,-0.150015
0.0390625,0.0390625,-0.000561791,0.000528266,-0.149882
0.0546875,0.0390625,-0.00112386,0.000810539,-0.150024
0.0703125,0.0390625,-0.00206593,0.000941193,-0.149934
0.0859375,0.0390625,-0.00297526,0.00108137,-0.150007
0.101562,0.0390625,-0.00409633,0.00113739,-0.14993
0.117188,0.0390625,-0.00516715,0.0011951,-0.149947
0.132812,0.0390625,-0.0063487,0.00121192,-0.149869
0.148438,0.0390625,-0.00748352,0.00123276,-0.149843
0.164062,0.0390625,-0.00867599,0.00123484,-0.149755
0.179688,0.0390625,-0.009833,0.00124157,-0.149695
0.195312,0.0390625,-0.0110206,0.00123952,-0.149592
0.210938,0.0390625,-0.0121833,0.00124089,-0.149502
0.226562,0.0390625,-0.0133618,0.0012374,-0.149383
0.242188,0.0390625,-0.0145223,0.00123541,-0.149266
0.257812,0.0390625,-0.0156885,0.0012297,-0.149126
0.273438,0.0390625,-0.0168392,0.00122354,-0.148984
0.289062,0.0390625,-0.0179871,0.00121353,-0.148822
0.304688,0.0390625,-0.0191179,0.00120125,-0.148654
0.320312,0.0390625,-0.020237,0.00118437,-0.148469
0.335938,0.0390625,-0.0213337,0.00116349,-0.148275
0.351562,0.0390625,-0.0224085,0.00113686,-0.148065
0.367188,0.0390625,-0.0234521,0.0011045,-0.147845
0.382812,0.0390625,-0.0244616,0.00106502,-0.147611
0.398438,0.0390625,-0.0254278,0.00101807,-0.147365
0.414062,0.0390625,-0.0263453,0.000962503,-0.147105
0.429688,0.0390625,-0.0272045,0.000897842,-0.146834
0.445312,0.0390625,-0.0279976,0.00082316,-0.14655
0.460938,0.0390625,-0.0287147,0.000738037,-0.146256
0.476562,0.0390625,-0.0293466,0.000641854,-0.14595
0.492188,0.0390625,-0.0298827,0.000534455,-0.145635
0.507812,0.0390625,-0.0303133,0.000415661,-0.145311
0.523438,0.0390625,-0.0306281,0.000285791,-0.144981
0.539062,0.0390625,-0.0308174,0.000145257,-0.144645
0.554688,0.0390625,-0.0308724,-4.95736e-06,-0.144305
0.570312,0.0390625,-0.0307848,-0.000163737,-0.143964
0.585938,0.0390625,-0.0305482,-0.00032931,-0.143624
0.601562,0.0390625,-0.030157,-0.00049985,-0.143288
